62,d,searchBookV2,cklgk31cx126151ifb8yaq0t6c,Veronica Roth,veronica-roth-k8p41,Author,cklgk67fg262811ifb3gjapoyv,Divergent
63,d,searchBookV2,cklkwk34k153241i9pgjngjp7s,Adam Silvera,adam-silvera-j4d8i,Author,ckmbsvvji03381jjamigfaxmy,They Both Die at the End
64,d,searchBookV2,ckhqamymi144227109iz5m3ju33,Chloe Gong,chloe-gong-kbjjd,Author,ckhqamymi144226109ibn8ffcai,These Violent Delights
65,d,searchBookV2,ckqutvgyr248t01eusb8yar7c,Delia Owens,delia-owens-29vkf,Author,ckhq87rqd31120zg1f5zlc0u0,Where the Crawdads Sing
66,d,searchBookV2,ckpccgxu213661051i8p0lhbffop,Taylor Jenkins Reid,taylor-jenkins-reid-bwgym,Author,ckpe8niot65841rk904dos374,Daisy Jones & the Six
67,d,searchBookV2,cklgk0wa352131ifbwkattwbv,Donna Tartt,donna-tartt-a8m7d,Author,ckr1v63il1jbb01cr1klkz8xh,The Secret History 
68,d,searchBookV2,ckk6nr6hn266591i8s1evek9gg,Benjamin Alire Saenz,benjamin-alire-saenz-kh1ao,Author,ckk6nr6hn266581i8s2njkzpbt,Aristotle and Dante Discover the Secrets of the Universe
69,d,searchBookV2,ckquqcd0k0n8101euj9r7weyk,Elle Kennedy,elle-kennedy-c204d,Author,ckr1u2fp1179w01crn6wyw52p,The Deal
70,d,searchBookV2,ckmb32q6d141271ijav6eqwt17,V. E. Schwab,v-e-schwab-oekh4,Author,ckmb33c63160021ija5h3oez3o,A Darker Shade of Magic
71,d,searchBookV2,cl67gacpr12470300ib7o262z0w9,J. K. Rowling,jk-rowling-i2i5l,Author,ckhg1e63h278670yab62natik6,Harry Potter and the Deathly Hallows
72,d,searchBookV2,ckg95zuih12018gmx2uzellk6u,J. D. Salinger,j-d-salinger-n3645,Author,ckikdtm7624720zhf5wprkfc6,The Catcher in the Rye
73,d,searchBookV2,ckiu5kyee460180z61of10g1ac,Stephenie Meyer,stephenie-meyer-7plp8,Author,ckr1qoz0207ii01cre859an3y,Breaking dawn
74,d,searchBookV2,ckowrb1gm7177141ic2f8lqwkfo,Shelby Mahurin,shelby-mahurin-nkkfk,Author,ckpli1bpt15128921ib7eo9lz77b,Serpent & Dove
75,d,searchBookV2,ckgcfx0qh37130zb8z6nvj86l,Anthony Doerr,anthony-doerr-fpueb,Author,ckmaujwej51151ijawp5x57ov,All the Light We Cannot See
76,d,searchBookV2,ckuu59hn9115313914u6j2fyclbt, Cassandra Clare,cassandra-clare-9jga8,Author,ckr1qukg1098q01crdnlyxc94,Clockwork Angel (The Infernal Devices #1)
77,d,searchBookV2,ckquscr1m1hgr01eu49hegiii,James Dashner,james-dashner-r42f7,Author,ckr1unxbq1duy01cro56bj60x,The maze runner
78,d,searchBookV2,ckquqog500sbb01euesg6kizo,Tracy Deonn,tracy-deonn-odan6,Author,ckpli1bbg15128101ib7xsni5d0d,Legendborn
79,d,searchBookV2,cko8e14dx1097831i97cuinxue1,Mary E. Pearson,mary-e-pearson-iewum,Author,ckrqody8i12697551czqqkbop3i1,Dance of Thieves
80,d,searchBookV2,ckpea93yl4890291ib2l2ebpdjw,Tricia Levenseller,tricia-levenseller-7ak9w,Author,ckr1qzb6r0alc01crix012wku,Daughter of the Pirate King
81,d,searchBookV2,cksyt20mt1815187oyt6wpujr,Elena Armas,elena-armas-0ernu,Author,cksyt20mt1814187ohe5i6avr,The Spanish Love Deception (Spanish Love Deception #1)
82,e,searchBookV2,ckpccgxu213661051i8p0lhbffop,Taylor Jenkins Reid,taylor-jenkins-reid-bwgym,Author,ckpoav7yu763971gmzo3mktetj,The Seven Husbands of Evelyn Hugo
83,e,searchBookV2,ckqulm9cn00ef01e2l4uetsa2,V. E. Schwab,v-e-schwab-fa76x,Author,ckp7v4rlz05511rl9z6klni7d,The Invisible Life of Addie LaRue
84,e,searchBookV2,ckgey2ozr85930y8q3rmawkvo,Colleen Hoover,colleen-hoover-q7ui3,Author,ckgey2ozr85920y8q8itx6qh4,It Ends with Us
85,e,searchBookV2,cktadxlg2298243aj7asuyz4zpw,Emily Henry,emily-henry-m528i,Author,ckragy9f90fzw01bjlkhdsjzz,People We Meet On Vacation
86,e,searchBookV2,cktadxlg2298243aj7asuyz4zpw,Emily Henry,emily-henry-m528i,Author,ckpptz2u81279251givoyd7cyuj,Beach Read
87,e,searchBookV2,cklkwk34k153241i9pgjngjp7s,Adam Silvera,adam-silvera-j4d8i,Author,ckmbsvvji03381jjamigfaxmy,They Both Die at the End
88,e,searchBookV2,ckgieifst389680y8yahf11a76,Sarah J. Maas,sarah-j-maas-4zfbm,Author,ckp7v51dv27821rl9xqkomiwn,House of Earth and Blood
89,e,searchBookV2,ckmaujh9138851ijadzugnzl8,Erin Morgenstern,erin-morgenstern-runii,Author,ckmaujh9138841ijaso7ve0dh,The Night Circus
90,e,searchBookV2,ckkqnh5hg78071i6e3t1hgohm,E. Lockhart,e-lockhart-1u40g,Author,ckkqnh5hg78061i6eyet6q96j,We Were Liars
91,e,searchBookV2,ckquqcd0k0n8101euj9r7weyk,Elle Kennedy,elle-kennedy-c204d,Author,ckr1u2fp1179w01crn6wyw52p,The Deal
92,e,searchBookV2,ckmb32q6d141271ijav6eqwt17,V. E. Schwab,v-e-schwab-oekh4,Author,ckmb33c63160021ija5h3oez3o,A Darker Shade of Magic
