count,shelfId,bookCount
242,cksdbcvfr605081estgqgpup9s,1
243,ckukaxfcs488319457au081t9vh,160
244,cksyn4shb2641501j8gqqavqt4y,71
245,ckrp2k6pr1162575178fudy2zgu2,3
246,ckt60ayl5712973rg7akodnd5f6,4
247,cksuelluk0720gh8gjop2y4m4,94
248,cksujpev90105pg8gcas5bm6c,1007
249,ckryb3jqm6176591798zxcd0nu0,1
250,ckv7d49f9612661yz8brcynb270,30
251,ckugzm1p1435415w64wichiyw,1
252,ckssawabb10524221957idsoklln,71
253,cksxftdgk6376201k8gftk7kxe4,3
254,ckst8q0cn3554491y8z7n4dmkoe,2
255,cku0659qa1150876yz7al54g34nu,5
256,cktlm4n3p122326uc7a9n3fw3bx,2
257,ckuvo5cl9788842297addj069sg,3
258,ckst87fnj2396401y8zxwhgnumx,9
259,ckszgsjh04573719k7o7bh7uval,26
260,ckuqzzmyx9901482j7a91synjp1,44
261,cksuf5sy28646it8gadbsk8df,19
262,ckubimiap530143o7al8xgz1k5,1
263,ckryuxrd87611491798m9fl6avx,1
264,ckt4cznnd317226l77afwjmzk4y,1
265,ckuzpedd51064782268bp7py3stp,77
266,cku77j8lu449319nl7acuewnrr8,1
267,ckuzcl83p14598491i8bcokp0jpp,18
268,ckt9x3umm773698x7a7r9qx3rp,1
269,ckv92ig2x94473818b0o23weyn,9
270,cktloxg4o14157114wfufa2x0d1,48
271,ckumvz7at145486414up3q689sfo,9
272,ckv0scp621506745s8b505sihw9,2
273,ckscc5kno126883gm98tn2sk5qz,7
274,ckv6t8ils823864vs8b1k4fxft2,196
275,cks21exxi878771798kgpd6d9q,10
276,ckuxwa9kh13482231j7aa84ps3b6,4
277,ckv2rc7h863494916wv8nmzhhk1,18
278,ckuvrc2nw141539277azwg5cwmy,130
279,ckuwx4wqt3228551j7aae64cyao,4
280,ckt2szrvi261550957am2covh14,134
281,cksiqn3fp908739q298bmhelryp,3
282,cktn9rwl01147092yz7aaagbu3us,1
283,cksuoj7dj2537853n8g47h1853q,7
284,cku5dvsmy17194bp7aly06h4t2,28
285,ckulqnfkj2153241i7a7wp5axzi,4
286,ckuzeuog33359671i8bxdxadtbu,2
287,ckryb357261370717980g9ko7gk,63
288,cku77hx88447302nl7ad0na9dzd,9
289,ckuzhbts510520751i8bivttbeat,1
290,ckst8t6pk3766441y8zq8f7qmdu,2
291,cksujjar23555p38ggobvjyzr,37
292,cktk40kpt195951nr7ahvxw0kdt,1
293,cksu7ldq7110978y8gd7gza2k2,105
294,cku88ky9z72367vp7acczu13lm,8
295,ckscc5nka127425gm98gb58vhfe,11
296,cku76zv9e423090nl7atosr6pxn,2
297,cksunq56j1386223n8gonrf3xw3,5
298,cks6fjy1n9326601798d104xa3j,2
299,ckussx60614174492j7a4dlsbbz9,2
300,ckv7bqwmm75773515txi51rdz3k,3
301,ckuwximo52202601j6p2iva1z19,12
302,ckttsse1f592285yz7atsllyhls,4
303,cksxzrm1r759731j8gdnhz8v1o,24
304,cku5s19z4222227go7alx6pdf9g,29
305,cku72iuae103951nl7al5r77t5i,4
306,ckv84gcwt5943962j8bogwq7820,82
307,ckrxua20e2900611798p2531po6,10
308,ckv2ncgaq1064368b88blx12mtmk,4
309,ckv2naxt11053198b88benwk9l19,3
310,ckt0rru8x12810155a7o74yn2zo3,5
311,ckuef7ba94948931j7ayspctbfe,147
312,cksxufhmj1223711378gv0ymufl9,6
313,ckt4n1vfb1398815wdqseoree2,37
314,ckryb1pn26008521798flll01t5,1
315,ckurwrgt26847532j7ahxw6qq7p,1
316,ckud4jkx0173036757a8wdy90ck,79
317,ckuvly1oq411387297a66nphq2o,1
318,cksfjof6675248of98pcf1obfz,1
319,cku7kzrsq64292rw7abltf2713,1
320,ckrlux9y5861650183sr4y8vpnp,9
321,cku88oaho80695vp7av8jvkqc7,34
322,ckugr2r8980745913vy6psr6jcl,7
323,cku242iig632233yz7abvw65tpq,12
324,cksvklyr942971fzrnlm9aavc,19
325,cku7heyj4268008pu7agx98qbd5,17
326,ckufguo9o424668497adh0lj1s5,10
327,cktjqbwtx98039013xi0qm8hvnq,3
328,ckt6il0d399130us7abcndk2k2,35
329,ckv02zdmq3369373h8b14fw75fp,5
330,ckv9s281h42728bt8by6halcyz,1
331,cks92bq7w13069101k98nj1gbpu1,136
332,ckuvwyk519675014u6xl5e1v1n,7
333,ckv1qvyk5242346a8bjwgmnf8f,2
334,ckufxdfc9510521j7axg6txgqh,42
